Product Name,HS Code,Stock Unit,Purchase Price,Sales Price,Barcode,Supplier
UOS8I,966142,Bottle,254,424,1.108,ABC SUPPLIER PVT. LTD.
JSO9G,687232,Bottle,31,185,1.109,ABC SUPPLIER PVT. LTD.
43OYG,548295,Bottle,193,391,1.110,ABC SUPPLIER PVT. LTD.
I6JNM,966248,Bottle,181,338,1.111,ABC SUPPLIER PVT. LTD.
FU2ZP,946093,Bottle,229,420,1.112,ABC SUPPLIER PVT. LTD.
A48DY,512116,Bottle,293,475,1.113,ABC SUPPLIER PVT. LTD.
CH2CZ,452524,Bottle,116,271,1.114,ABC SUPPLIER PVT. LTD.
GZE3P,944588,Bottle,214,365,1.115,ABC SUPPLIER PVT. LTD.
LA2S4,401129,Bottle,295,492,1.116,ABC SUPPLIER PVT. LTD.
G8OM9,713961,Bottle,329,503,1.117,ABC SUPPLIER PVT. LTD.
